,user,age,dominant_hand,shape,hand_used,acc_x-std,acc_y-std,acc_z-std,g-force_x-std,g-force_y-std,g-force_z-std,acc_x-peaks,acc_y-peaks,acc_z-peaks,g-force_x-peaks,g-force_y-peaks,g-force_z-peaks
98,user3,23,R,S,R,1.841020926632166,0.5919640117315523,0.7209448725289013,0.17961000896054158,0.1046357379762751,0.0742116154782871,2,4,5,7,13,0
99,user3,23,R,O,R,1.0394398470432196,0.3194916389010094,1.025663255453127,0.08835502193441513,0.08283210098425252,0.10065602198004275,6,15,9,9,8,0
100,user3,23,R,O,R,1.0723956909688832,0.2714925276977891,0.9453338545247805,0.09130875124815176,0.06674399794770274,0.09638988779152907,7,13,6,10,8,0
101,user3,23,R,V,R,0.39700126485101805,0.2971042860905347,0.802700559915001,0.05481179055871994,0.07068305161120889,0.08343244084016577,14,16,13,15,10,0
102,user3,23,R,O,R,1.8873014612022636,0.7921438160752433,2.2652478196578096,0.14185700033669976,0.1818129769385379,0.2318772994107762,4,6,1,8,5,0
103,user3,23,R,V,R,0.43992706395605335,0.38174433813465536,1.1336531816753217,0.06033005069556893,0.09597406519629892,0.12188545853973638,10,10,2,14,8,0
104,user3,23,R,V,R,0.5980117323626893,0.39309997129768076,1.1647258547301964,0.05568561309192147,0.0644088370424015,0.11876812489286945,5,9,8,7,9,0
105,user3,23,R,S,R,1.252886998032909,0.3914599840022761,0.8036008935594157,0.11829797300132402,0.06300910608242508,0.0812014198143408,4,14,11,7,5,0
106,user3,23,R,V,R,0.6923325194021358,0.45026363440371125,1.308926538546596,0.07353845023410087,0.09953616607680511,0.13675960971745513,10,10,5,10,11,0
107,user3,23,R,O,R,0.9833680475464991,0.28470878817791356,0.9913350452690841,0.07515494958619821,0.08754716315482258,0.09512677120356582,7,20,10,10,10,0
108,user3,23,R,S,R,1.0521241215531052,0.31901742906253133,0.6194229325028995,0.1039149749046738,0.07260604573263724,0.06212206480004739,8,15,13,17,9,0
109,user3,23,R,O,R,1.383150355985574,0.5526386851035509,1.24708716054117,0.14618425903852542,0.14024982935404667,0.13482904209100613,7,12,8,7,18,0
110,user3,23,R,V,R,0.626685407075011,0.4080770532649134,1.0769586314420683,0.06718304341302506,0.06515676525139906,0.10932351376638834,11,10,7,7,4,0
111,user3,23,R,S,R,2.033272414117951,0.6237221280093871,1.1932366412981972,0.19899513370491917,0.13448685902575172,0.12087387572263977,6,6,3,6,4,0
112,user3,23,R,S,R,1.6365473011846543,0.631897952843742,0.850069831067126,0.16239770077876517,0.10129324823890404,0.0865780129504211,5,4,5,7,8,0
113,user3,23,R,S,R,2.1389299659844543,0.7117050972117092,1.3906561482418622,0.19677512247015308,0.11978818794835733,0.1430998928257666,4,6,5,6,9,0
114,user3,23,R,V,R,0.585847278675568,0.3840573345227724,1.0320543716787858,0.054053079949987835,0.08352494756376633,0.10470196586273581,13,12,9,15,12,0
115,user3,23,R,O,R,1.1226711763877155,0.3405092171175745,1.0045115104048379,0.09861488703757601,0.10242818277209988,0.09976421691611267,7,18,10,6,6,0
116,user3,23,R,O,R,1.5442558586836612,0.5449255844389747,1.5054060282837243,0.14202294609769092,0.16655522354445554,0.15903798030974342,5,8,4,8,7,0
117,user3,23,R,O,R,1.3176227013531217,0.5066511344480751,1.3158617852972152,0.1211121056306705,0.1333411429784982,0.13313595152339297,8,10,6,4,5,0
118,user3,23,R,S,R,0.9336155218315977,0.3746537863700059,0.6455357512744869,0.08773228585074085,0.07020029841097017,0.06293114276225067,8,11,13,20,15,0
119,user3,23,R,V,R,0.5399537448310628,0.41582271601786985,1.1836631790713141,0.0798009840818947,0.11354606702950674,0.12456197083776217,12,7,3,10,9,0
120,user3,23,R,S,R,2.358472693705268,0.9185816265356512,0.8655272798989989,0.22992704956014756,0.11100442179622941,0.08877768038977762,6,4,9,3,6,0
121,user3,23,R,V,R,0.5437161374959562,0.2887387875292793,1.035047479072638,0.05337647098056677,0.08269526459882093,0.10362849107910627,9,14,7,11,4,0
122,user3,23,R,O,R,2.146819266341473,0.8036280928921586,2.1729893965192764,0.16241344049858342,0.21353513346660868,0.21323502660620006,6,7,3,8,3,0
123,user3,23,R,S,R,0.7307904168404522,0.2838421387619865,0.5808005524351655,0.06769361353033387,0.07324818949346637,0.05799578242804666,5,18,15,26,4,0
124,user3,23,R,O,R,1.0182921803536897,0.35573754547896935,0.9011973851555921,0.10270858545374459,0.10791094747907122,0.08428735890752334,6,12,7,10,2,0
125,user3,23,R,V,R,0.7311238022452774,0.42900723110667915,1.4505244172847058,0.06905485416220164,0.0773690593453903,0.1510821978631188,8,10,0,8,9,0
126,user4,19,R,S,L,1.1750282700766175,0.43998533203988505,0.7980891533602766,0.12987349945620522,0.1210156386900133,0.07870340291743623,11,22,15,15,3,0
127,user4,19,R,V,L,0.8291461904377104,0.3501559860707921,1.4373402828013706,0.08482969413798978,0.13259415732983562,0.13380315591659217,11,12,7,8,2,0
128,user4,19,R,O,L,0.6610617851615769,0.3101428221480686,0.8081309286388412,0.11410617769667056,0.12410587585293252,0.0729792368189541,9,15,4,6,6,0
129,user4,19,R,V,L,0.4921295985688491,0.2558452771405801,0.8313388664297392,0.06383441894412065,0.08873244783157054,0.07751368849547165,7,10,6,6,4,0
130,user4,19,R,V,L,0.7923011030787289,0.3664566306899995,1.4574048831001567,0.0880669360764396,0.13822722905266532,0.13131967514942097,3,5,3,3,0,0
131,user4,19,R,O,L,0.9545500642567594,0.405501395054198,0.7935855026626294,0.12267082895669568,0.1695363039338678,0.06756976604275451,7,9,12,10,5,0
132,user4,19,R,S,L,0.779459207676055,0.3457715501741726,0.5043634649642671,0.09569622017981888,0.13386739543499457,0.05448056562488638,16,16,25,21,6,0
133,user4,19,R,S,L,0.9529800854701471,0.5580864943923658,1.5331033326027335,0.12280921597450555,0.1566602886838504,0.14739666308638336,13,10,7,10,6,1
134,user4,19,R,S,L,1.0047020226023669,0.34879756828664454,0.7365186092899002,0.10520316645656766,0.11324022138413525,0.07114878677221631,12,19,18,11,26,0
135,user4,19,R,O,L,1.1485729039077828,0.623916182493752,1.1107135529966046,0.1253592738887704,0.16371419836356574,0.10498243943376989,9,4,10,11,4,0
136,user4,19,R,O,L,0.7363298596599385,0.36041309998624216,0.8265797982986887,0.09045166739221921,0.1349188398334705,0.07449801644653209,12,11,13,21,5,0
137,user4,19,R,V,L,0.612925079095893,0.2678303244303183,0.9313114530850815,0.06632506731338701,0.10553499386412435,0.08360910644476434,11,11,4,10,8,0
138,user4,19,R,S,L,1.638558767611442,0.736505467921786,1.5836483929982381,0.20956632666873556,0.16793867315902739,0.1594870621865143,14,20,11,16,10,1
139,user4,19,R,O,L,0.6957484116431146,0.3214116698482579,0.7569966788999829,0.10883999378313794,0.1420797490148669,0.06481127857173742,8,24,9,8,4,0
140,user4,19,R,V,L,0.9788278157340896,1.38929309823993,2.1366101117118603,0.10773716669060043,0.25351172052764653,0.2613078063678379,11,3,5,12,4,3
141,user4,19,R,S,R,1.6916270339474655,0.5304778176692889,0.7477392166009337,0.15708682997647602,0.07384398437984456,0.0784184334489054,2,4,9,3,7,0
